search_code,code,name
tse_4106.tw,4106,雃博
tse_4108.tw,4108,懷特
tse_4119.tw,4119,旭富
tse_4133.tw,4133,亞諾法
tse_4137.tw,4137,麗豐-KY
tse_4141.tw,4141,龍燈-KY
tse_4142.tw,4142,國光生
tse_4155.tw,4155,訊映
tse_4164.tw,4164,承業醫
tse_4190.tw,4190,佐登-KY
tse_4306.tw,4306,炎洲
tse_4414.tw,4414,如興
tse_4426.tw,4426,利勤
tse_4438.tw,4438,廣越
tse_4439.tw,4439,冠星-KY
tse_4440.tw,4440,宜新實業
tse_4526.tw,4526,東台
tse_4532.tw,4532,瑞智
tse_4536.tw,4536,拓凱
tse_4540.tw,4540,全球傳動
tse_4545.tw,4545,銘鈺
tse_4551.tw,4551,智伸科
tse_4552.tw,4552,力達-KY
tse_4555.tw,4555,氣立
tse_4557.tw,4557,永新-KY
tse_4560.tw,4560,強信-KY
tse_4562.tw,4562,穎漢
tse_4564.tw,4564,元翎
tse_4566.tw,4566,時碩工業
tse_4571.tw,4571,鈞興-KY
tse_4572.tw,4572,駐龍
tse_4576.tw,4576,大銀微系統
tse_4581.tw,4581,光隆精密-KY
tse_4720.tw,4720,德淵
tse_4722.tw,4722,國精化
tse_4737.tw,4737,華廣
tse_4739.tw,4739,康普
tse_4746.tw,4746,台耀
tse_4755.tw,4755,三福化
tse_4763.tw,4763,材料-KY
tse_4764.tw,4764,雙鍵
tse_4766.tw,4766,南寶
tse_4807.tw,4807,日成-KY
tse_4904.tw,4904,遠傳
tse_4906.tw,4906,正文
tse_4912.tw,4912,聯德控股-KY
tse_4915.tw,4915,致伸
tse_4916.tw,4916,事欣科
tse_4919.tw,4919,新唐
tse_4927.tw,4927,泰鼎-KY
tse_4930.tw,4930,燦星網
tse_4934.tw,4934,太極
tse_4935.tw,4935,茂林-KY
tse_4938.tw,4938,和碩
tse_4942.tw,4942,嘉彰
tse_4943.tw,4943,康控-KY
tse_4952.tw,4952,凌通
tse_4956.tw,4956,光鋐
tse_4958.tw,4958,臻鼎-KY
tse_4960.tw,4960,誠美材
tse_4961.tw,4961,天鈺
tse_4967.tw,4967,十銓
tse_4968.tw,4968,立積
tse_4976.tw,4976,佳凌
tse_4977.tw,4977,眾達-KY
tse_4989.tw,4989,榮科
tse_4994.tw,4994,傳奇
tse_4999.tw,4999,鑫禾
tse_5007.tw,5007,三星
tse_5203.tw,5203,訊連
tse_5215.tw,5215,科嘉-KY
tse_5222.tw,5222,全訊
tse_5225.tw,5225,東科-KY
tse_5234.tw,5234,達興材料
tse_5243.tw,5243,乙盛-KY
tse_5258.tw,5258,虹堡
tse_5269.tw,5269,祥碩
tse_5283.tw,5283,禾聯碩
tse_5284.tw,5284,jpp-KY
tse_5285.tw,5285,界霖
tse_5288.tw,5288,豐祥-KY
tse_5388.tw,5388,中磊
tse_5434.tw,5434,崇越
tse_5469.tw,5469,瀚宇博
tse_5471.tw,5471,松翰
tse_5484.tw,5484,慧友
tse_5515.tw,5515,建國
tse_5519.tw,5519,隆大
tse_5521.tw,5521,工信
tse_5522.tw,5522,遠雄
tse_5525.tw,5525,順天
tse_5531.tw,5531,鄉林
tse_5533.tw,5533,皇鼎
tse_5534.tw,5534,長虹
tse_5538.tw,5538,東明-KY
tse_5546.tw,5546,永固-KY
tse_5607.tw,5607,遠雄港
tse_5608.tw,5608,四維航
tse_5706.tw,5706,鳳凰
tse_5871.tw,5871,中租-KY
tse_5876.tw,5876,上海商銀
tse_5880.tw,5880,合庫金
tse_5906.tw,5906,台南-KY
tse_5907.tw,5907,大洋-KY
tse_6005.tw,6005,群益證
tse_6024.tw,6024,群益期
tse_6108.tw,6108,競國
tse_6112.tw,6112,聚碩
tse_6115.tw,6115,鎰勝
tse_6116.tw,6116,彩晶
tse_6117.tw,6117,迎廣
tse_6120.tw,6120,達運
tse_6128.tw,6128,上福
tse_6133.tw,6133,金橋
tse_6136.tw,6136,富爾特
tse_6139.tw,6139,亞翔
tse_6141.tw,6141,柏承
tse_6142.tw,6142,友勁
tse_6152.tw,6152,百一
tse_6153.tw,6153,嘉聯益
tse_6155.tw,6155,鈞寶
tse_6164.tw,6164,華興
tse_6165.tw,6165,浪凡
tse_6166.tw,6166,凌華
tse_6168.tw,6168,宏齊
tse_6172.tw,6172,互億
tse_6176.tw,6176,瑞儀
tse_6177.tw,6177,達麗
tse_6183.tw,6183,關貿
tse_6184.tw,6184,大豐電
tse_6189.tw,6189,豐藝
tse_6191.tw,6191,精成科
tse_6192.tw,6192,巨路
tse_6196.tw,6196,帆宣
tse_6197.tw,6197,佳必琪
tse_6201.tw,6201,亞弘電
tse_6202.tw,6202,盛群
tse_6205.tw,6205,詮欣
tse_6206.tw,6206,飛捷
tse_6209.tw,6209,今國光
tse_6213.tw,6213,聯茂
tse_6214.tw,6214,精誠
tse_6215.tw,6215,和椿
tse_6216.tw,6216,居易
tse_6224.tw,6224,聚鼎
tse_6225.tw,6225,天瀚
tse_6226.tw,6226,光鼎
tse_6230.tw,6230,尼得科超眾
tse_6235.tw,6235,華孚
tse_6239.tw,6239,力成
tse_6243.tw,6243,迅杰
tse_6251.tw,6251,定穎
tse_6257.tw,6257,矽格
tse_6269.tw,6269,台郡
tse_6271.tw,6271,同欣電
tse_6277.tw,6277,宏正
tse_6278.tw,6278,台表科
tse_6281.tw,6281,全國電
tse_6282.tw,6282,康舒
tse_6283.tw,6283,淳安
tse_6285.tw,6285,啟碁
tse_6288.tw,6288,聯嘉
tse_6289.tw,6289,華上
tse_6405.tw,6405,悅城
tse_6409.tw,6409,旭隼
tse_6412.tw,6412,群電
tse_6414.tw,6414,樺漢
